:ISOTOPE Am241
	1868.68	0.05746	gamma	
	2740.1	0.03523	gamma	
	3129.1	0.01385	gamma	
	1094	0.6754	beta+
	14.7064	0.0439	e-	
	16.9714	0.01626	e-	

:ISOTOPE Tc99m
	18.2141	0.02135	gamma	
	18.3344	0.04059	gamma	
	140.511	0.8906	gamma	
	15.4229	0.01479	e-	
	119.499	0.08916	e-	

:ISOTOPE In110m
	22.9571	0.08067	gamma
	23.1527	0.1516	gamma
	26.0401	0.01338	gamma
	26.0753	0.02599	gamma
	657.75	0.981	gamma
	1125.77	0.0104	gamma
	2129.4	0.02158	gamma
	2211.33	0.01746	gamma
	2317.41	0.0129	gamma
	1014.64	0.6113	beta+
	19.2752	0.0358	e-
	22.4238	0.01473	e-

:ISOTOPE Sb120m
	25.0232	0.2761	gamma
	25.2572	0.5165	gamma
	28.4307	0.0466	gamma
	28.4736	0.09048	gamma
	29.0882	0.01865	gamma
	89.8	0.795	gamma
	197.3	0.87	gamma
	1023.3	0.994	gamma
	1171.7	1	gamma
	20.9334	0.1041	e-
	24.4171	0.04433	e-
	60.616	0.1692	e-
	85.3597	0.01668	e-
	168.116	0.1036	e-
	192.86	0.0105	e-

:ISOTOPE Ho166m
	 48.2994	0.1079	gamma
	 49.2265	0.1914	gamma
	 55.5821	0.01994	gamma
	 55.7778	0.03853	gamma
	 80.586	0.1233	gamma
	 184.41	0.726	gamma
	 215.89	0.02606	gamma
	 259.737	0.01089	gamma
	 280.459	0.2977	gamma
	 300.762	0.03732	gamma
	 365.747	0.02476	gamma
	 410.944	0.1141	gamma
	 451.521	0.02984	gamma
	 464.797	0.01212	gamma
	 529.801	0.09692	gamma
	 570.99	0.05547	gamma
	 611.55	0.01408	gamma
	 670.502	0.05481	gamma
	 691.249	0.01343	gamma
	 711.683	0.5532	gamma
	 752.285	0.1229	gamma
	 778.817	0.03078	gamma
	 810.276	0.5808	gamma
	 830.577	0.09816	gamma
	 950.967	0.02755	gamma
	 #18.8201	0.7513	Beta
	 #201.454	0.02222	Beta
	 #316.597	0.0119	Beta
	 #464.223	0.0294	Beta
	 464.223 0.81482 beta-
	 23.012	0.2022	e-
	 39.4671	0.01423	e-
	 70.8698	0.01965	e-
	 71.3112	0.2332	e-
	 72.2386	0.2405	e-
	 78.7898	0.1207	e-
	 80.586	0.03175	e-
	 126.836	0.1489	e-
	 174.694	0.01579	e-
	 175.135	0.03109	e-
	 176.063	0.02451	e-
	 182.614	0.01711	e-
	 222.885	0.01826	e-

# cat isotopes.dat | sed s/X-ray/gamma/g | sed s/"Auger electron"/e-/g | sed s/"Conversion electron"/e-/g | sed s/Gamma/gamma/g | sed s/Positron/beta+/g | sed s/"Alpha recoil"/alpha/g | sed s/Alpha/alpha/g | sed s/Beta/beta-/g | grep -v "Annihilation photon" > ii; mv -v ii isotopes.dat 
