HEADER: 9,"EventID","TrackID","Particle","FinalKineticEnergy","FinalPosX","FinalPosY","FinalPosZ","FinalDirTheta","FinalDirPhi"
802,1,"gamma",0.626549,1.70475,1.16737,36,45.3841,34.4024
809,1,"gamma",0.674704,-16.5096,-11.0322,36,43.0185,-146.248
813,1,"gamma",1,0,0,36,0,0
817,1,"gamma",1,0,0,36,0,0
828,1,"gamma",1,0,0,36,0,0
855,1,"gamma",1,0,0,36,0,0
863,4,"gamma",0.592101,-13.0732,-6.02,36,45.7799,-155.288
866,1,"gamma",1,0,0,36,0,0
869,1,"gamma",0.663771,3.72707,1.40286,36,46.7361,21.9604
873,1,"gamma",0.482773,2.56625,-9.54035,36,37.5576,-65.3618
876,1,"gamma",0.947804,6.14836,4.23225,36,14.4197,34.5418
887,1,"gamma",1,0,0,36,0,0
902,1,"gamma",1,0,0,36,0,0
903,1,"gamma",0.756377,-1.22028,6.69518,36,33.564,100.329
909,1,"gamma",0.585978,-17.2244,-1.27843,36,60.9168,-177.269
928,1,"gamma",1,0,0,36,0,0
929,1,"gamma",1,0,0,36,0,0
938,1,"gamma",1,0,0,36,0,0
945,1,"gamma",1,0,0,36,0,0
949,1,"gamma",1,0,0,36,0,0
954,1,"gamma",0.899345,-2.27716,6.80381,36,19.6677,108.505
959,1,"gamma",1,0,0,36,0,0
961,1,"gamma",1,0,0,36,0,0
975,1,"gamma",0.934348,-2.8679,-3.89022,36,15.236,-126.398
981,3,"e-",0.674588,0.92149,-3.89293,36,21.0303,12.9657
982,1,"gamma",1,0,0,36,0,0
983,1,"gamma",1,0,0,36,0,0
987,1,"gamma",1,0,0,36,0,0
989,1,"gamma",1,0,0,36,0,0
991,1,"gamma",0.404453,10.0964,3.18863,36,53.7203,101.687
992,1,"gamma",1,-0.660009,-0.869634,36,2.13451,-127.197
1000,1,"gamma",0.900688,9.46994,-7.17322,36,18.5629,-37.1429
1022,1,"gamma",1,0,0,36,0,0
1025,1,"gamma",1,0,0,36,0,0
1037,1,"gamma",0.857401,-0.62422,1.25858,36,9.60168,130.847
1049,1,"gamma",1,0,0,36,0,0
1054,1,"gamma",0.805183,-14.8148,9.10844,36,21.0134,161.623
1073,1,"gamma",0.511006,-5.29821,13.2691,36,32.6347,109.811
1077,1,"gamma",1,0,0,36,0,0
1079,1,"gamma",1,0,0,36,0,0
1097,1,"gamma",1,0,0,36,0,0
1103,1,"gamma",1,0.83223,0.155322,36,3.08522,10.5717
1105,1,"gamma",1,0,0,36,0,0
1125,1,"gamma",1,0,0,36,0,0
1128,1,"gamma",0.93082,2.28597,8.91033,36,15.5957,75.611
1137,1,"gamma",0.862956,0.82625,-3.52824,36,22.0405,-76.8199
1141,1,"gamma",1,0,0,36,0,0
1144,1,"gamma",1,0,0,36,0,0
1145,1,"gamma",1,0,0,36,0,0
1161,1,"gamma",0.855466,-13.3523,0.921376,36,25.9769,176.053
1165,1,"gamma",1,0,0,36,0,0
1167,1,"gamma",0.924637,3.1597,-2.29963,36,15.6888,-28.5663
1171,1,"gamma",1,0,0,36,0,0
1191,1,"gamma",1,0,0,36,0,0
1213,1,"gamma",0.841257,9.35949,-5.5517,36,23.3918,-33.269
1215,1,"gamma",0.976527,1.40273,3.18384,36,7.37408,66.2228
1220,1,"gamma",0.934865,-0.813299,3.47696,36,10.7212,103.165
1226,1,"gamma",1,0,0,36,0,0
1238,1,"gamma",1,0,0,36,0,0
1239,1,"gamma",1,0,0,36,0,0
1247,1,"gamma",1,0,0,36,0,0
1259,1,"gamma",1,0,0,36,0,0
1265,1,"gamma",1,0,0,36,0,0
